date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-11-02,83.01,85.8,83.7,81.91,210130.34,0.0,0.0,78.008,77.4,74.821,178587.29,166253.12,194853.4
2017-11-01,77.6,84.7,83.7,77.6,290233.38,6.7,8.7,76.538,76.818,74.59,162042.01,169886.19,204447.74
2017-10-31,70.57,77.8,77.0,70.57,177513.02,6.26,8.85,74.878,75.714,74.0,125905.71,154644.79,205874.28
2017-10-30,73.0,73.5,70.74,70.6,125074.61,-4.16,-5.55,74.41,75.336,73.649,126803.47,154835.29,227316.97
2017-10-27,75.83,77.39,74.9,74.68,89985.1,-1.45,-1.9,75.872,75.445,73.835,131813.25,162053.24,222642.33
2017-10-26,74.93,76.6,76.35,72.59,127403.93,0.95,1.26,76.792,74.82,73.474,153918.94,166201.68,218948.9
2017-10-25,74.0,75.86,75.4,73.25,109551.91,0.74,0.99,77.098,73.905,72.733,177730.37,176197.2,212810.1
2017-10-24,77.57,78.26,74.66,72.58,182001.8,-3.39,-4.34,76.55,73.63,71.76,183383.87,194187.92,207855.38
2017-10-23,80.75,81.5,78.05,76.88,150123.5,-1.45,-1.82,76.262,73.467,70.569,182867.1,196113.91,199357.76
2017-10-20,76.88,80.8,79.5,76.5,200513.56,1.62,2.08,75.018,73.032,68.978,192293.24,206628.34,192049.61
2017-10-19,73.31,79.89,77.88,73.0,246461.06,5.22,7.18,72.848,72.241,67.105,178484.42,223453.69,182223.82
2017-10-18,72.94,74.47,72.66,71.51,137819.45,-0.56,-0.77,70.712,72.362,65.121,174664.03,239009.3,169982.31
2017-10-17,71.5,74.74,73.22,70.7,179417.95,1.39,1.94,70.71,72.286,63.225,204991.96,257103.76,163163.05
2017-10-16,69.0,73.54,71.83,67.3,197254.16,3.18,4.63,70.672,71.962,61.143,209360.72,299798.64,154253.2
2017-10-13,68.5,70.01,68.65,68.08,131469.5,1.45,2.16,71.046,72.224,58.987,220963.44,283231.43,144410.32
2017-10-12,71.0,71.0,67.2,67.01,227359.08,-5.45,-7.5,71.634,72.127,56.86,268422.96,271696.13,137854.74
2017-10-11,74.65,79.6,72.65,71.99,289459.12,-0.38,-0.52,74.012,71.56,54.686,303354.57,249423.01,126497.54
2017-10-10,72.01,75.95,73.03,71.01,201261.72,-0.67,-0.91,73.862,69.889,52.132,309215.57,221522.84,112034.47
2017-10-09,73.09,76.5,73.7,71.08,255267.78,2.11,2.95,73.252,67.671,49.461,390236.57,202601.62,101981.87
2017-09-29,78.73,80.0,71.59,71.18,368767.12,-7.5,-9.48,73.402,64.924,46.668,345499.41,177470.88,89223.48
2017-09-28,71.0,79.09,79.09,70.5,402017.12,7.19,10.0,72.62,61.968,43.899,274969.29,140993.96,70795.13
2017-09-27,69.95,73.26,71.9,68.02,318764.09,1.92,2.74,69.108,57.88,42.046,195491.45,100955.32,53362.39
2017-09-26,77.98,78.0,69.98,69.09,606366.75,-4.47,-6.0,65.916,54.164,40.388,133830.11,69222.33,38617.85
2017-09-25,74.45,74.45,74.45,74.45,31581.99,6.77,10.0,62.09,50.324,38.647,14966.66,8707.75,5220.86
2017-09-22,67.68,67.68,67.68,67.68,16116.49,6.15,9.99,56.446,45.75,36.409,9442.34,5589.22,3573.29
2017-09-21,61.53,61.53,61.53,61.53,4627.93,5.59,9.99,51.316,41.592,34.325,7018.62,4013.36,2737.07
2017-09-20,55.94,55.94,55.94,55.94,10457.37,5.09,10.01,46.652,37.812,32.381,6419.19,3572.07,2602.01
2017-09-19,50.85,50.85,50.85,50.85,12049.53,4.62,9.99,42.412,34.375,30.569,4614.56,2546.1,1997.75
2017-09-18,46.23,46.23,46.23,46.23,3960.36,4.2,9.99,38.558,31.251,28.879,2448.84,1362.13,1160.11
2017-09-15,42.03,42.03,42.03,42.03,3997.92,3.82,10.0,35.054,28.411,27.302,1736.1,976.09,905.54
2017-09-14,38.21,38.21,38.21,38.21,1630.77,3.47,9.99,31.868,25.829,25.829,1008.1,596.3,596.3
2017-09-13,34.74,34.74,34.74,34.74,1434.22,3.16,10.01,28.972,24.453,24.453,724.95,481.36,481.36
2017-09-12,31.58,31.58,31.58,31.58,1220.92,2.87,10.0,26.338,23.168,23.168,477.63,362.25,362.25
2017-09-11,28.71,28.71,28.71,28.71,396.69,2.61,10.0,23.944,21.966,21.966,275.41,239.58,239.58
2017-09-08,26.1,26.1,26.1,26.1,357.92,2.37,9.99,21.768,20.842,20.842,216.08,213.4,213.4
2017-09-07,23.73,23.73,23.73,23.73,215.01,2.16,10.01,19.79,19.79,19.79,184.5,184.5,184.5
2017-09-06,21.57,21.57,21.57,21.57,197.61,1.96,9.99,18.805,18.805,18.805,176.87,176.87,176.87
2017-09-05,19.61,19.61,19.61,19.61,209.84,1.78,9.98,17.883,17.883,17.883,169.95,169.95,169.95
2017-09-04,17.83,17.83,17.83,17.83,100.02,1.62,9.99,17.02,17.02,17.02,150.01,150.01,150.01
2017-09-01,13.51,16.21,16.21,13.51,200.0,4.95,43.96,16.21,16.21,16.21,200.0,200.0,200.0
